0,0,
-2.09869,6.257396,
-4.18768,12.4855,
-6.26699,18.68327,
-8.3366,24.84966,
-10.3965,30.98361,
-12.4468,37.08409,
-14.4873,43.15004,
-16.5182,49.18042,
-18.5393,55.17417,
-20.5508,61.13026,
-22.5526,67.04764,
-24.5447,72.92525,
-26.5271,78.76205,
-28.4998,84.55699,
-30.4628,90.30903,
-32.4162,96.01712,
-34.3599,101.6802,
-36.2938,107.2973,
-38.2181,112.8672,
-40.1327,118.389,
-42.0377,123.8616,
-43.9329,129.284,
-45.8184,134.6551,
-47.6943,139.9739,
-49.5605,145.2393,
-51.417,150.4503,
-53.2638,155.6058,
-55.101,160.7047,
-56.9285,165.7462,
-58.7462,170.729,
-60.5543,175.6521,
-62.3528,180.5145,
-64.1415,185.3152,
-65.9206,190.0531,
-67.69,194.7271,
-69.4497,199.3362,
-71.1997,203.8794,
-72.9401,208.3556,
-74.6707,212.7637,
-76.3917,217.1028,
-78.1031,221.3717,
-79.8047,225.5695,
-81.4967,229.695,
-83.179,233.7472,
-84.8516,237.7252,
-86.5146,241.6277,
-88.1678,245.4538,
-89.8114,249.2025,
-91.4454,252.8727,
-93.0696,256.4632,
-94.6842,259.9732,
-96.2891,263.4016,
-97.8844,266.7472,
-99.47,270.0091,
-101.046,273.1862,
-102.612,276.2774,
-104.169,279.2818,
-105.716,282.1982,
-107.253,285.0256,
-108.78,287.763,
-110.298,290.4093,
-111.806,292.9635,
-113.305,295.4245,
-114.794,297.7913,
-116.273,300.0628,
-117.743,302.238,
-119.203,304.3159,
-120.653,306.2953,
-122.093,308.1753,
-123.524,309.9547,
-124.946,311.6326,
-126.357,313.208,
-127.759,314.6796,
-129.151,316.0466,
-130.534,317.3078,
-131.907,318.4623,
-133.27,319.5089,
-134.624,320.4466,
-135.968,321.2744,
-137.302,321.9912,
-138.627,322.596,
-139.941,323.0877,
-141.247,323.4653,
-142.542,323.7277,
-143.828,323.7277,
-145.105,323.7277,
-146.371,323.7277,
-147.628,323.7277,
-148.876,323.2756,
-150.114,322.825,
-151.342,322.252,
-152.56,321.5553,
-153.769,320.7341,
-154.968,319.7873,
-156.157,318.7137,
-157.337,317.5124,
-158.507,316.1824,
-159.668,314.7225,
-160.818,313.1317,
-161.96,311.409,
-163.094,309.5788,
-164.223,307.6671,
-165.347,305.6756,
-166.465,303.606,
-167.579,301.4599,
-168.686,299.239,
-169.788,296.9449,
-170.885,294.5792,
-171.975,292.1436,
-173.059,289.6398,
-174.137,287.0693,
-175.209,284.4339,
-176.274,281.7352,
-177.332,278.9747,
-178.384,276.1542,
-179.428,273.2754,
-180.466,270.3397,
-181.496,267.349,
-182.518,264.3048,
-183.534,261.2088,
-184.541,258.0626,
-185.54,254.8679,
-186.532,251.6263,
-187.515,248.3395,
-188.49,245.0091,
-189.456,241.6367,
-190.414,238.224,
-191.363,234.7727,
-192.304,231.2843,
-193.235,227.7606,
-194.157,224.2032,
-195.069,220.6137,
-195.972,216.9937,
-196.866,213.345,
-197.75,209.6691,
-198.623,205.9677,
-199.487,202.2425,
-200.34,198.495,
-201.183,194.727,
-202.016,190.94,
-202.838,187.1358,
-203.649,183.316,
-204.449,179.4821,
-205.238,175.6359,
-206.015,171.779,
-206.782,167.9131,
-207.536,164.0398,
-208.279,160.1606,
-209.01,156.2774,
-209.729,152.3917,
-210.436,148.5052,
-211.131,144.6194,
-211.813,140.7362,
-212.483,136.857,
-213.14,132.9836,
-213.784,129.1176,
-214.415,125.2606,
-215.033,121.4143,
-215.637,117.5803,
-216.228,113.7603,
-216.806,109.9559,
-217.369,106.1688,
-217.919,102.4006,
-218.455,98.65288,
-218.976,94.9274,
-219.483,91.22576,
-219.976,87.54961,
-220.454,83.90059,
-220.917,80.28033,
-221.365,76.6905,
-221.798,73.13273,
-222.216,69.60867,
-222.619,66.11996,
-223.006,62.66825,
-223.377,59.25518,
-223.732,55.8824,
-224.072,52.55154,
-224.395,49.26427,
-224.702,46.02221,
-224.993,42.82702,
-225.267,39.68034,
-225.525,36.58381,
-225.765,33.53909,
-225.989,30.5478,
-226.195,27.61161,
-226.195,24.73215,
-226.195,21.91106,
-226.195,19.15,
-226.195,16.45061,
-226.195,13.81453,
-226.195,11.24341,
-226.195,8.738885,
-226.195,6.302609,
-226.195,3.936224,
-226.195,1.641375,
-226.195,-0.58029,
-226.195,-2.72714,
-226.195,-4.79751,
-226.195,-6.78977,
-226.195,-8.70228,
-226.195,-10.5747,
-226.195,-12.4477,
-226.195,-14.3208,
-226.195,-16.1938,
-226.195,-18.0664,
-226.195,-19.9381,
-226.195,-21.8089,
-226.195,-23.6782,
-226.195,-25.5457,
-225.675,-27.4113,
-225.461,-29.2745,
-225.236,-31.135,
-225,-32.9925,
-224.753,-34.8467,
-224.496,-36.6973,
-224.229,-38.5439,
-223.951,-40.3862,
-223.665,-42.224,
-223.369,-44.0568,
-223.064,-45.8844,
-222.751,-47.7065,
-222.429,-49.5227,
-222.099,-51.3327,
-221.761,-53.1362,
-221.416,-54.9329,
-221.064,-56.7225,
-220.705,-58.5046,
-220.339,-60.2789,
-219.966,-62.0451,
-219.588,-63.8029,
-219.204,-65.552,
-218.814,-67.292,
-218.419,-69.0227,
-218.02,-70.7437,
-217.615,-72.4546,
-217.207,-74.1553,
-216.794,-75.8453,
-216.377,-77.5243,
-215.957,-79.192,
-215.534,-80.8482,
-215.108,-82.4924,
-214.68,-84.1244,
-214.249,-85.7438,
-213.816,-87.3504,
-213.381,-88.9437,
-212.945,-90.5236,
-212.508,-92.0896,
